origin_date,scans,manual_entries
2020-05-19,1407,0
2020-05-20,11411,0
2020-05-21,23561,0
2020-05-22,30275,0
2020-05-23,31444,0
2020-05-24,29426,0
2020-05-25,31629,0
2020-05-26,36794,0
2020-05-27,39216,0
2020-05-28,43473,0
2020-05-29,48091,0
2020-05-30,51353,0
2020-05-31,41061,0
2020-06-01,41382,0
2020-06-02,39801,0
2020-06-03,43562,0
2020-06-04,45368,0
2020-06-05,49272,0
2020-06-06,50110,0
2020-06-07,47585,0
2020-06-08,43688,0
2020-06-09,41358,0
2020-06-10,40404,0
2020-06-11,36798,0
2020-06-12,30559,0
2020-06-13,26429,0
2020-06-14,26642,0
2020-06-15,27261,0
2020-06-16,33006,0
2020-06-17,35471,0
2020-06-18,34190,0
2020-06-19,24013,0
2020-06-20,15885,0
2020-06-21,18051,0
2020-06-22,19598,0
2020-06-23,19163,0
2020-06-24,17780,0
2020-06-25,16173,0
2020-06-26,12096,0
2020-06-27,9925,0
2020-06-28,11887,0
2020-06-29,12878,0
2020-06-30,12917,0
2020-07-01,12242,0
2020-07-02,13197,0
2020-07-03,9985,0
2020-07-04,7966,0
2020-07-05,12549,0
2020-07-06,13758,0
2020-07-07,14857,0
2020-07-08,16309,0
2020-07-09,17564,0
2020-07-10,14737,0
2020-07-11,12079,0
2020-07-12,14402,0
2020-07-13,17098,0
2020-07-14,18663,0
2020-07-15,25718,0
2020-07-16,31925,0
2020-07-17,27266,0
2020-07-18,22250,0
2020-07-19,24045,0
2020-07-20,25077,0
2020-07-21,23686,0
2020-07-22,24161,0
2020-07-23,24078,0
2020-07-24,21128,0
2020-07-25,17978,0
2020-07-26,20091,0
2020-07-27,21466,0
2020-07-28,22035,5
2020-07-29,22130,28
2020-07-30,21105,3591
2020-07-31,17474,6226
2020-08-01,16428,7922
2020-08-02,19402,6866
2020-08-03,21567,7493
2020-08-04,25254,10269
2020-08-05,32169,28747
2020-08-06,37806,22672
2020-08-07,33790,18862
2020-08-08,29357,16784
2020-08-09,30662,14713
2020-08-10,33283,14842
2020-08-11,147705,127453
2020-08-12,452616,190504
2020-08-13,833240,180634
2020-08-14,982362,156551
2020-08-15,897765,102839
2020-08-16,977467,101103
2020-08-17,1130794,96371
2020-08-18,1242836,97203
2020-08-19,1432967,95562
2020-08-20,1596603,84633
